Mecanismo que origina la comisión,Quien invita o que UR solicita,Unidad Responsable que genera la nota de viaje area sustantiva,Tipo de representacion requerida,Numero de comision,Servidor publico comisionado,Cargo,Grupo jerarquico,Tipo de viaje,No de acuerdo de autorización del pleno,No de oficio de comisión,Pais de origen,Estado de origen,Ciudad de origen,Pais de destino,Estado o equivalente de destino,Ciudad de destino,Tarifa diaria de viaticos por dia,Moneda,Tema,Tipo de comisión,Nombre del evento o actividad principal a la que se asiste,URL del evento,Fecha de inicio de participacion en el evento o actividad,Fecha de fin de participacion en el evento o actividad,Motivo de la comision,Antecedentes,Actividades realizadas,Resultados obtenidos,Contribuciones para el IFAI,Link al comunicado,Institucion que cubre pasaje,Tipo de pasaje,Aerolinea de vuelo de ida,Numero de vuelo de ida,Aerolineas de vuelo de regreso,Numero de vuelo de regreso,Fecha de inicio de la comision,Fecha de termino de la comision,Gasto por concepto de pasajes en MN,Gasto por concepto de viaticos en MN,Institucion que cubre hospedaje,Nombre del hotel,Fecha de entrada,Fecha de salida,Costo total del hospedaje,Monto comprobado de viaticos,Monto sin comprobacion,Monto de viaticos devueltos,Observaciones
Requerimiento de UR,DIRECCION GENERAL DE CAPACITACION; PROMOCION Y RELACIONES INSTITUCIONALES,No disponible,Técnico,2013.N.0006,MARIO ERNESTO MEJIA PACHON,SUBDIRECTOR DE OTROS SUJETOS OBLIGADOS,NC3,Nacional,No disponible,IFAI/SG/DGCPRI/045/2013,México,Distrito Federal,Ciudad de México,México,Baja California,Tijuana,1250,MXP,VINCLACION CON ESTADOS Y MUNICIPIOS,Participación en evento publico,REUNION DE LA REGION NORTE DE LA COMAIP; REUNION DE LA COMISION DE GESTION DOCUMENTAL; TECNOLOGIAS DE LA INFORMACION Y GOBIERNO ABIERTO DE LA COMAIP Y EN EL PRIMER FORO NACIONAL DE ANALISIS Y REFLEXION SOBRE LA REFORMA CONSTITUCIONAL EN MATERIA DE TRANSPARENCIA Y ACCESO A LA INFORMACION PUBLICA EN México,No disponible,31/01/2013,02/02/2013,PARTICIPAR EN LA REUNION DE LA REGION NORTE DE LA CONFERENCIA MEXICANA PARA EL ACCESO A LA INFORMACION PUBLICA (COMAIP); REUNION DE LA COMISION DE GESTION DOCUMENTAL; TECNOLOGIAS DE LA INFORMACION Y GOBIERNO ABIERTO DE LA CONFERENCIA MEXICANA PARA EL ACCESO A LA INFORMACION PUBLICA (COMAIP) Y EN EL PRIMER FORO NACIONAL DE ANALISIS Y REFLEXION SOBRE LA REFORMA CONSTITUCIONAL EN MATERIA DE TRANSPARENCIA Y ACCESO A LA INFORMACION PUBLICA EN México; ORGANIZADO POR LA CONFERENCIA MEXICANA PARA EL ACCESO A LA INFORMACION PUBLICA (COMAIP).,No disponible,Se participo en la Reunión de la Región Norte de la COMAIP; Reunión de la Gestión Documental; Tecnologías de la Información y Gobierno Abierto de la COMAIP,Se renovaron los coordinadores de la Región Norte de la COMAIP,Se cumplió con las atribuciones del IFAI.,No disponible,IFAI,Aéreo,Aeroméxico,AM 170,Aeroméxico,AM 177,31/01/2013,02/02/2013,6444,2500,IFAI,Grand Hotel Tijuana,31/01/2013,02/02/2013,2040,2500,No disponible,No disponible,No aplica
Invitación,Comisión Estatal para la Transparencia y el Acceso a la Información publica de Durango y la COMAIP,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Alto nivel,2013.N.0013,CHRISTIAN LARIS CUTIÑO,DIRECTOR DE RELACIONES INTERINSTITUCIONALES Y PUBLICAS,MC2,Nacional,No disponible,IFAI/SG/043/2013,México,Distrito Federal,Ciudad de México,México,Durango,Durango,1250,MXP,POLITICAS DE ACCESO A LA INFORMACION,Participación en evento publico,FORO NACIONAL DE ANALIS Y REFLEXION SOBRE LA REFORMA CONSTITUCIONAL EN MATERIA DE TRANSPARENCIA Y ACCESO A LA INFORMACION PUBLICA EN México,No disponible,28/02/2013,28/02/2013,COORDINAR LA PARTICIPACION DEL COMISIONADO PRESIDENTE DEL IFAI EN EL FORO NACIONAL DE ANALIS Y REFLEXION SOBRE LA REFORMA CONSTITUCIONAL EN MATERIA DE TRANSPARENCIA Y ACCESO A LA INFORMACION PUBLICA EN México; ORGANIZADA POR LA COMISION ESTATAL PARA LA TRANSPARENCIA Y EL ACCESO A LA INFORMACION PUBLICA DE DURANGO Y LA CONFERENCIA MEXICANA PARA EL ACCESO A LA INFORMACION PUBLICA (COMAIP).,No disponible,Participación del comisionado presidente en el evento.,Dar a conocer el desarrollo del derecho de acceso a la información publica,Participar en evento,No disponible,No disponible,Aéreo,Aeroméxico,AM 2428,Aeroméxico,AM 2601,28/02/2013,28/02/2013,8031,625,No disponible,Hotel Gobernador,28/02/2013,28/02/2013,0,625,62.5,625,No aplica
Invitación,Instituto Nacional para el Federalismo y el Desarrollo municipal y el Gobierno del Estado de Puebla,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Alto nivel,2013.N.0011,CHRISTIAN LARIS CUTIÑO,DIRECTOR DE RELACIONES INTERINSTITUCIONALES Y PUBLICAS,MC2,Nacional,No disponible,IFAI/SG/DGCPRI/075/2013,México,Distrito Federal,Ciudad de México,México,Puebla,Puebla,1250,MXP,VINCLACION CON ESTADOS Y MUNICIPIOS,Participación en evento publico,1era JORNADA DE CAPACITACION PARA PRESIDENTES MUNICIPALES SOBRE LA IMPORTANCIA DE LA RENDICION DE CUENTAS Y LA TRANSPARENCIA EN LOS MUNICIPIOS,No disponible,21/02/2013,21/02/2013,PARTICIPAR EN LA PRIMERA JORNADA DE CAPACITACION PARA PRESIDENTES MUNICIPALES SOBRE LA IMPORTANCIA DE LA RENDICION DE CUENTAS Y LA TRANSPARENCIA EN LOS MUNICIPIOS; ORGANIZADA POR EL INSTITUTO NACIONAL PARA EL FEDERALISMO Y EL DESARROLLO MUNICIPAL Y EL GOBIERNO DEL ESTADO DE PUEBLA.,No disponible,Participar como conferencista en la  1era jornada de capacitación para presidentes municipales sobre la importancia de la rendición de cuentas y la transparencia en los municipios,Dar a conocer la situación que guarda el DAI en nuestro país,Dar a conocer la situación que guarda el DAI en nuestro país,No disponible,IFAI,Terrestre,No aplica,No aplica,No aplica,No aplica,21/02/2013,21/02/2013,750.02,111.5,No aplica,No aplica,No aplica,No aplica,No aplica,861.52,62.5,236.52,No aplica
Invitación,COMAIP,Dirección General de Tecnologías de la Información,Alto nivel,2013.N.0007,ALFREDO MENDEZ CALATAYUD,DIRECTOR GENERAL DE TECNOLOGIAS DE INFORMACION,KB2,Nacional,No disponible,IFAI/SG-008/13,México,Distrito Federal,Ciudad de México,México,Baja California,Tijuana,1650,MXP,Vinculación con Estados y Municipios,Reunión de trabajo,REUNION DE LA REGION NORTE DE LA COMAIP; REUNION DE LA COMISION DE GESTION DOCUMENTAL; TECNOLOGIAS DE LA INFORMACION Y GOBIERNO ABIERTO DE LA COMAIP Y EN EL PRIMER FORO NACIONAL DE ANALISIS Y REFLEXION SOBRE LA REFORMA CONSTITUCIONAL EN MATERIA DE TRANSPARENCIA Y ACCESO A LA INFORMACION PUBLICA EN México,No disponible,31/01/2013,02/02/2013,PARTICIPAR EN LA REUNION DE LA REGION NORTE DE LA CONFERENCIA MEXICANA PARA EL ACCESO A LA INFORMACION PUBLICA (COMAIP); REUNION DE LA COMISION DE GESTION DOCUMENTAL; TECNOLOGIAS DE LA INFORMACION Y GOBIERNO ABIERTO DE LA CONFERENCIA MEXICANA PARA EL ACCESO A LA INFORMACION PUBLICA (COMAIP) Y EN EL PRIMER FORO NACIONAL DE ANALISIS Y REFLEXION SOBRE LA REFORMA CONSTITUCIONAL EN MATERIA DE TRANSPARENCIA Y ACCESO A LA INFORMACION PUBLICA EN México; ORGANIZADO POR LA CONFERENCIA MEXICANA PARA EL ACCESO A LA INFORMACION PUBLICA (COMAIP).,No disponible,Participar en la reunión de la región norte de la COMAIP,Renovación de coordinadores de la región y discusión de implicaciones que tendrá la reforma constitucional.,Se cumplió con las atribuciones del IFAI.,No disponible,IFAI,Aéreo,Aeroméxico,AM 170,Aeroméxico,AM 177,31/01/2013,02/02/2013,6444,3207,IFAI,Plaza agua caliente,31/01/2013,02/02/2013,2794,3207,No disponible,93,No aplica
Requerimiento de UR,Área General de Asuntos Jurídicos,Dirección General de Asuntos Jurídicos,Técnico,2013.N.0009,ULISES ANGELES BOJORQUEZ,SUBDIRECTOR DE LO CONTENCIOSO DE DATOS,NC1,Nacional,No disponible,IFAI/DGAJ/055/13,México,Distrito Federal,Ciudad de México,México,Michoacán,Morelia,1250,MXP,Supervisión; Vigilancia; Verificación y Sanciones,Asuntos legales,SEGUIMIENTO AL EXPEDIENTE DEL AMPARO EN REVISION INSTAURADA POR EL SINDICATO DE TRABAJADORES PETROLEROS DE LA REPUBLICA MEXICANA,No disponible,07/02/2013,08/02/2013,SEGUIMIENTO AL EXPEDIENTE DEL AMPARO EN REVISION NUMERO 299/2012 INSTAURADA POR EL SINDICATO DE TRABAJADORES PETROLEROS DE LA REPUBLICA MEXICANA; DEL INDICE DEL QUINTO TRIBUNAL COLEGIADO DEL CENTRO AUXILIAR DE LA TERCERA REGION; CON SEDE EN MORELIA; MICHOACAN.,No disponible,Platicar con el Secretario de acuerdos que proyectara el asunto; así como con los magistrados de Tribunal.,Inferir en el análisis que realizan los magistrados del Tribunal al momento del amparo. ,Obtener resultado favorable en el amparo en revisión,No disponible,IFAI,Aéreo,Aeromar,1635,Aeromar,1750,07/02/2013,08/02/2013,7782,1845,IFAI,Hotel Boutique la Cava,07/02/2013,08/02/2013,500,1845,No disponible,595,No aplica
Invitación,No disponible,Oficina del comisionado ATZ,Alto nivel,2013.N.0001,ANGEL JOSE TRINIDAD ZALDIVAR,COMISIONADO,HB1,Nacional,No disponible,IFAI/ATZ/001/2013,México,Distrito Federal,Ciudad de México,México,Hidalgo,Pachuca,1650,MXP,Capacitación y Cultura de la Transparencia,Impartir conferencia,IMPARTIR CONFERENCIA MAGISTRAL EN EL MARCO DEL DIA INTERNACIONAL DE LA PROTECCION DE DATOS PERSONALES.,No disponible,28/01/2013,28/01/2013,IMPARTIR CONFERENCIA MAGISTRAL EN EL MARCO DEL DIA INTERNACIONAL DE LA PROTECCION DE DATOS PERSONALES.,No disponible,Se llevo a cabo l a participación de la Conferencia Magistral del día Internacional de Protección de Datos.,Ampliar el conocimiento en materia de Protección de Datos.,No disponible,No disponible,IFAI,Terrestre,No aplica,No aplica,No aplica,No aplica,28/01/2013,28/01/2013,84,203,No aplica,No aplica,No aplica,No aplica,No aplica,287,No disponible,No disponible,No aplica
Invitación ,Hospital Civil de Guadalajara,Presidencia,Alto nivel,2013.N.0010,ALFONSO OÑATE LABORDE,SECRETARIO DE PROTECCION DE DATOS PERSONALES,IA1,Nacional,No disponible,IFAI/DTP/GLR/009/2013,México,Distrito Federal,Ciudad de México,México,Jalisco,Guadalajara,1650,MXP,Capacitación y Cultura de la Transparencia,Participación en evento publico,2do FORO NACIONAL DE TRANSPARENCIA Y DATOS PERSONALES DE SALUD,No disponible,14/02/2013,15/02/2013,PARTICIPAR COMO PANELISTA EN EL SEGUNDO FORO NACIONAL DE TRANSPARENCIA Y DATOS PERSONALES DE SALUD QUE ORGANIZA EL HOSPITAL CIVIL DE GUADALAJARA.,No disponible,"Participar en la mesa ""El tratamiento del dato de salud desde un enfoque normativo"".",El sector salud es estratégico y prioritario para la protección de datos. El foro permitió concientizar a los responsables de instituciones; en materia de expediente clínico.,No disponible,No disponible,No disponible,Aéreo,Aeroméxico,AM 126,Aeroméxico,AM 285,14/02/2013,15/02/2013,300,71,No aplica,No aplica,No aplica,No aplica,No aplica,71,No disponible,1579,No aplica
Invitación,COMAIP,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Técnico,2013.N.0012,ANTOLIN SOTELO SANCHEZ,SUBDIRECTOR DE ESTADOS Y MUNICIPIOS,NC3,Nacional,No disponible,IFAI/SG/DGCPRI/079/2013,México,Distrito Federal,Ciudad de México,México,Hidalgo,Pachuca,1250,MXP,Vinculación con Estados y Municipios,Reunión de trabajo,Reunión ordinaria de la COMAIP,No disponible,26/02/2013,26/02/2013,ASISTIR A LA REUNION ORDINARIA DE LA COMISION JURIDICA DE LA CONFERENCIA MEXICANA PARA EL ACCESO A LA INFORMACION PUBLICA (COMAIP).,No disponible,Participar en la reunión de la comisión jurídica de la COMAIP,Representar al Instituto en la reunión de la COMAIP,Representar al Instituto en las reuniones de la COMAIP,No disponible,IFAI,Terrestre,No aplica,No aplica,No aplica,No aplica,26/02/2013,26/02/2013,295,200,No aplica,No aplica,No aplica,No aplica,No aplica,495,0,130,No aplica
Requerimiento de UR,Secretaria Ejecutiva,Secretaria Ejecutiva,Técnico,2013.N.0008,MARIANA VAZQUEZ BRACHO GARCIA,SUBDIRECTORA DE LO CONTENCIOSO DE ACCESO,NC2,Nacional,No disponible,No disponible,México,Distrito Federal,Ciudad de México,México,Coahuila,Torreón,1250,MXP,Supervisión; Vigilancia; Verificación y Sanciones,Asuntos legales,SEGUIMIENTO AL JUICIO CONTENCIOSO ADMINISTRATIVO FEDERAL INTERPUESTO POR OPERADORA OCEANICA INTERNACIONAL; S.A. DE C.V. EN CONTRA DE ESTE INSTITUTO.,No disponible,07/02/2013,07/02/2013,LA COMISION SE REALIZO CON EL OBJETO DE DAR SEGUIMIENTO AL JUICIO CONTENCIOSO ADMINISTRATIVO FEDERAL 1789/12-03-01-3/41/13-TSA-6 INTERPUESTO POR OPERADORA OCEANICA INTERNACIONAL; S.A. DE C.V. EN CONTRA DE ESTE INSTITUTO. DICHO JUICIO SE ENCUENTRA RADICADO EN LA TERCERA SALA AUXILIAR; CON SEDE EN TORREON; COAHUILA; DEL TRIBUNAL FEDERAL DE JUSTICIA FISCAL Y ADMINISTRATIVA.,No disponible,Entrevista con el secretario ponente responsable de elaborar el proyecto de resolución del juicio; con el fin de defender los intereses jurídicos del instituto.,Seguimiento del juicio hasta su resolución final,Defensa jurídica eficaz de las resoluciones que emite el Instituto.,No disponible,IFAI,Aéreo,No disponible,No disponible,No disponible,No disponible,07/02/2013,07/02/2013,6996,625,No aplica,No aplica,No aplica,No aplica,No aplica,625,27,No disponible,No aplica
Invitación,Casa del Migrante de Saltillo,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Técnico,2013.N.0003,IXCHEL CRUZ CISNEROS,SUBDIRECTORA DE ENLACE CON LA SOCIEDAD ORGANIZADA,NC2,Nacional,No disponible,IFAI/SG/DGCPRI/037/2013,México,Distrito Federal,Ciudad de México,México,Coahuila,Saltillo,1700,MXP,Capacitación y Cultura de la Transparencia,Impartir capacitación,TALLER DE CAPACITACION SOBRE EL DERECHO DE PROTECCION DE DATOS PERSONALES EN POSESION DE PARTICULARES A INTEGRANTES DE ORGANIZACIONES DE LA SOCIEDAD CIVIL EN SALTILLO,No disponible,28/01/2013,29/01/2013,"DERIVADO DE LA SOLICITUD DE CAPACITACION QUE REALIZO AL IFAI LA CASA DEL MIGRANTE DE SALTILLO A TRAVES DE LA RED NACIONAL ""TODOS LOS DERECHOS PARA TODAS Y TODOS""; IMPARTIR UN TALLER DE CAPACITACION SOBRE EL DERECHO DE PROTECCION DE DATOS PERSONALES EN POSESION DE PARTICULARES A INTEGRANTES DE ORGANIZACIONES DE LA SOCIEDAD CIVIL EN SALTILLO; COAHUILA EL 29 DE ENERO DEL 2013.",No disponible,Impartición de taller sobre protección de datos personales,Se desataco la participación activa y el interés del grupo sobre los temas expuestos.,Uno de los objetivos estratégicos del IFAI es promover la protección de datos personales en posesión de particular y el derecho ARCO. ,No disponible,IFAI,Aéreo,Aeroméxico,AM 248,Aeroméxico,AM 269,28/01/2013,29/01/2013,5651,1005.17,IFAI,Urdiñola,28/01/2013,29/01/2013,502.18,1005.17,No disponible,244.83,No aplica
Requerimiento de UR,Secretaria de Protección de Datos,Dirección General de Verificación,Técnico,2013.N.0004,SERGIO MARTINEZ MENDOZA,JEFE DE DEPARTAMENTO DE VERIFICACION DE MATERIA DE DATOS PERSONALES D,OC1,Nacional,No disponible,IFAI/SPDP/DGV/063/2013,México,Distrito Federal,Ciudad de México,México,Quintana Roo,Cancún y Playa del Carmen,980,MXP,Supervisión; Vigilancia; Verificación y Sanciones,Notificación,Notificación de oficios ,No disponible,29/01/2013,30/01/2013,LLEVAR A CABO LA NOTIFICACION DE LOS OFICIOS IFAI/SPDP/DGV/060/2013; IFAI/SPDP/DGV/061/2013; IFAI/SPDP/DGV/062/2013; TODOS DE FECHA VEINTINUEVE DE ENERO DEL DOS MIL TRECE; A LOS REPRESENTANTES LEGALES DEL HOTEL SANDOS CARACOL DE LA CADENA SANDOS HOTELS & RESORTS; DE LA EMPRESA VTI CANCUN Y DE LA EMPRESA PTI México; MISMAS QUE TIENEN SU DOMICILIO EN LAS CIUDADES DE CANCUN Y PLAYA DEL CARMEN; Y LAS CUALES SON SEÑALADAS EN LA DENUNCIA PRESENTADA EN ESTE INSTITUTO POR UN PARTICULAR; COMO RESPONSABLES DE HABER VULNERADO SU DERECHO A LA PROTECCION DE DATOS PERSONALES PREVISTO EN LA LEY FEDERAL DE PROTECCION DE DATOS PERSONALES EN POSESION DE LOS PARTICULARES.,No disponible,Notificación de oficios a responsables de sistemas de datos personales,No disponible,No disponible,No disponible,IFAI,Aéreo,Interjet,2314,Interjet,2307,29/01/2013,30/01/2013,3505,1416,IFAI,María de Lourdes,29/01/2013,30/01/2013,500,1416,15,909,No aplica
Invitación ,Conferencia Internacional de Autoridades de Protección de Datos y Privacidad,Oficina de la comisionada JPM,Alto nivel,2012.I.0001,JACQUELINE PESCHARD MARISCAL,COMISIONADA ,HB1,Internacional,ACT-PUB/15/08/2012.04.06,IFAI/JPM/0130/2012,México,Distrito Federal,Ciudad de México,Uruguay,Maldonado,Punta del Este,450,USD,Normatividad de Datos Personales,Participación en evento publico,"X ENCUENTRO IBEROAMERICANO DE PROTECCION DE DATOS PERSONALES Y ""34A. CONFERENCIA INTERNACIONAL DE AUTORIDADES DE PROTECCION DE DATOS Y PRIVACIDAD""",No disponible,No aplica,No aplica,"PARTICIPAR EN EL X ENCUENTRO IBEROAMERICANO DE PROTECCION DE DATOS PERSONALES Y EN LA ""34A. CONFERENCIA INTERNACIONAL DE AUTORIDADES DE PROTECCION DE DATOS Y PRIVACIDAD""; QUE TENDRA LUGAR DEL 22 AL 26 DE OCTUBRE DE 2012 EN PUNTA DEL ESTE; URUGUAY. VIAJE CANCELADO",No disponible,No aplica. Viaje cancelado,Viaje cancelado por análisis de la iniciativa de la reforma constitucional para dotar al IFAI de autonomía y ampliar sus facultades,No aplica. Viaje Cancelado,No disponible,No disponible,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,12544.2,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,12544.2,Viaje cancelado
Requerimiento de UR,DIRECCION GENERAL DE CAPACITACION; PROMOCION Y RELACIONES INSTITUCIONALES,Dirección General de Capacitación; Promoción y Relaciones Institucionales,Técnico,2013.N.0002,ANTOLIN SOTELO SANCHEZ,SUBDIRECTOR DE ESTADOS Y MUNICIPIOS,NC3,Nacional,No disponible,IFAI/SG/DGCPRI/039/2013,México,Distrito Federal,Ciudad de México,México,Hidalgo,Pachuca,1250,MXP,Capacitación y Cultura de la Transparencia,Participación en evento publico,"CONFERENCIA MAGISTRAL ""LA PROTECCION DE LOS DATOS PERSONALES. EL NUEVO RETO""",No disponible,28/01/2013,28/01/2013,"APOYAR Y COORDINAR LA PARTICIPACION DEL COMISINADO DEL IFAI EN LA CONFERENCIA MAGISTRAL ""LA PROTECCION DE LOS DATOS PERSONALES. EL NUEVO RETO""; EN EL MARCO DEL DIA INTERNACIONAL DE LA PROTECCION DE DATOS PERSONALES; ORGANIZADO POR EL INSTITUTO DE ACCESO A LA INFORMACION PUBLICA GUBERNAMENTAL DEL ESTADO DE HIDALGO.",No disponible,Coordinar la participación del comisionado en el evento del IAIPH en conmemoración al día internacional de la protección de datos personales,Se promovió la protección de datos personales en posesión de privados con el órgano garante del Estado de Hidalgo,El IFAI asistió al evento de protección de datos personales; contribuyendo al tema,No disponible,IFAI,Terrestre,No aplica,No aplica,No aplica,No aplica,28/01/2013,28/01/2013,329,225,No aplica,No aplica,No aplica,No aplica,No aplica,554,0,71,No aplica
Invitación,"El Presidente del Consejo para la Transparencia; extendió una invitación al Comisionado Presidente GLR
",Oficina de la Comisionada MEPJZ,Alto Nivel,2013.I.0013,MARIA ELENA PEREZ-JAEN ZERMEÑO,COMISIONADA,HB1,Internacional,ACT-PUB/03/04/2013.03.01,"IFAI/Comisionados/Ponencias/087/13
",México,Distrito Federal,Ciudad de México,Chile,Santiago de Chile,Santiago de Chile,450,USD,Asuntos Internacionales,Participación en evento publico,V Encuentro RTA y IV Seminario Internacional de Transparencia “DEL DICHO AL HECHO: como pasar del discurso publico a la acción”,No disponible,23/04/2013,25/04/2013,"PRESIDIR EL V ENCUENTRO DE LA RED ""DE TRANSPARENCIA Y ACCESO A LA INFORMACION"" (RTA); ASI COMO PARTICIPAR EN EL ""SEMINARIO INTERNACIONAL 2013; DEL DICHO AL HECHO; DEL DISCURSO PUBLICO A LA ACCION"" AMBOS EVENTOS ORGANIZADOS POR EL CONSEJO PARA LA TRANSPARENCIA DE CHILE.","El 20 de abril de 2009 se suscribió en la Ciudad de Santiago de Chile; el Convenio de Cooperación en Materia de Transparencia y Acceso a la Información entre el CPLT de la Republica de Chile y el IFAI.
","El día 22 de abril; la Comisionada María Elena Perez-Jaen Zermeño y el Director General de Coordinación y Vigilancia de la Administración Publica Federal (DGCV); José Luis Marzal Ruiz; sostuvieron una reunión de trabajo en las oficinas del CPLT; con el señor Raúl Ferrada; Director General del CPLT y representante de la Secretaria Ejecutiva de la TA y la Señora Katerina Kilwadenko; adscrita al área de Comunicaciones de la Dirección General del CPLT; a efecto de coordinar los trabajos de la RTA y las participaciones correspondientes. Adicionalmente; se llevo a cabo una reunión informal con los representantes de Gobierno de la Ciudad Autónoma de Buenos Aires; en su carácter  de aspirantes a integrarse a la red; en la que se trataron los objetivos y algunos de los trabajos que actualmente se llevan a cabo. Por parte del gobierno de la Ciudad Autónoma de Buenos Aires; participaron los siguientes funcionarios: Álvaro González; Subsecretario de Asuntos Públicos; Ignacio Cámara; Gerente Operativo de Alertas Oportunas; Gabriel Buenos; Gerente Operativo de Acceso a la Información. El d{la 23 de abril; se iniciaron las actividades del ""V Encuentro de la RTA"". Durante este evento se desarrollaron los siguientes temas:
1.- Presentación; Formalización e inclusión de nuevos miembros. 
